Voces,TANNHÄUSER,1900,2010s,2012,indie rock,krautrock,post-rock,Sevilla,-,-,-,-,-,-,-,-,-
Sensación térmica,KIKO VENENO,1900,2010s,2013,flamenco-pop,pop,pop-rock,rumba,Sevilla,-,-,-,-,-,-,-,-
La figura del buit,EL PETIT DE CAL ERIL,1900,2010s,2013,en catalán,folk-pop,folk-rock,Guissona,pop psicodélico,pop-rock,-,-,-,-,-,-,-
Pour une âme souveraine. A Dedication To Nina Simone,MESHELL NDEGEOCELLO,1900,2010s,2012,Estados Unidos,folk-funk,folk-rock,jazz-funk,rhythm'n'blues,soul-jazz,tributo,-,-,-,-,-,-
Strapped,THE SOFT PACK,1900,2010s,2012,Estados Unidos,indie pop,indie rock,pop,pop-rock,post-punk,-,-,-,-,-,-,-
Paz,STRAND,1900,2000s,2003,electrónica,glitch music,Madrid,pop electrónico,post-rock,-,-,-,-,-,-,-,-
Un gramo de fe,PONY BRAVO,1900,2010,2010s,flamenco-rock,krautrock,pop psicodélico,post-rock,rock,Sevilla,-,-,-,-,-,-,-
Luxury Problems,ANDY STOTT,1900,2010s,2012,ambient,dub techno,electrónica,Inglaterra,techno,-,-,-,-,-,-,-,-
Una montaña es una montaña,LOS PUNSETES,1900,2010s,2012,indie pop,indie rock,Madrid,pop punk,pop-rock,-,-,-,-,-,-,-,-
Relax,DAS RACIST,1900,2010s,2011,Estados Unidos,hip hop,-,-,-,-,-,-,-,-,-,-,-
The Ghost Of Fashion,CLEM SNIDE,1900,2000s,2001,alt-country,country-rock,Estados Unidos,indie rock,-,-,-,-,-,-,-,-,-
Shrines,PURITY RING,1900,2010s,2012,Canadá,chillwave,dream pop,indietrónica,witch house,-,-,-,-,-,-,-,-
Kaleidoscope Dream,MIGUEL,1900,2010s,2012,Estados Unidos,pop,R&B,soul,-,-,-,-,-,-,-,-,-
Losing Sleep,EDWYN COLLINS,1900,2010,2010s,Escocia,indie pop,pop,pop-rock,rock,-,-,-,-,-,-,-,-
White Chalk,PJ HARVEY,1900,2000s,2007,folk-rock,Inglaterra,rock,-,-,-,-,-,-,-,-,-,-
